
00000,Total,"497,243,063",
00000,"$1 under $25,000","24,408,351",
00000,"$25,000 under $50,000","51,280,648",
00000,"$50,000 under $75,000","53,935,928",
00000,"$75,000 under $100,000","50,642,741",
00000,"$100,000 under $200,000","126,311,367",
00000,"$200,000 or more","190,664,028",
60002,,"983,256",
60002,"$1 under $25,000","39,633",
60002,"$25,000 under $50,000","81,127",
60002,"$50,000 under $75,000","105,258",
60002,"$75,000 under $100,000","113,188",
60002,"$100,000 under $200,000","363,149",
60002,"$200,000 or more","280,901",

60004,,"2,986,182",
60004,"$1 under $25,000","67,950",
60004,"$25,000 under $50,000","157,540",
60004,"$50,000 under $75,000","208,326",
60004,"$75,000 under $100,000","232,871",
60004,"$100,000 under $200,000","925,611",
60004,"$200,000 or more","1,393,884",

60005,,"1,608,033",
60005,"$1 under $25,000","46,654",
60005,"$25,000 under $50,000","108,779",
60005,"$50,000 under $75,000","137,657",
60005,"$75,000 under $100,000","126,502",
60005,"$100,000 under $200,000","440,898",
60005,"$200,000 or more","747,543",

60007,,"1,403,611",
60007,"$1 under $25,000","57,428",
60007,"$25,000 under $50,000","146,777",
60007,"$50,000 under $75,000","191,847",
60007,"$75,000 under $100,000","179,638",
60007,"$100,000 under $200,000","509,399",
60007,"$200,000 or more","318,522",

60008,,"806,686",
60008,"$1 under $25,000","41,967",
60008,"$25,000 under $50,000","109,969",
60008,"$50,000 under $75,000","114,468",
60008,"$75,000 under $100,000","99,874",
60008,"$100,000 under $200,000","254,375",
60008,"$200,000 or more","186,033",

60010,,"5,775,831",
60010,"$1 under $25,000","47,996",
60010,"$25,000 under $50,000","88,183",
60010,"$50,000 under $75,000","123,144",
60010,"$75,000 under $100,000","147,386",
60010,"$100,000 under $200,000","711,258",
60010,"$200,000 or more","4,657,864",

60012,,"629,931",
60012,"$1 under $25,000","13,792",
60012,"$25,000 under $50,000","25,656",
60012,"$50,000 under $75,000","33,883",
60012,"$75,000 under $100,000","40,788",
60012,"$100,000 under $200,000","209,019",
60012,"$200,000 or more","306,793",

60013,,"1,218,813",
60013,"$1 under $25,000","39,220",
60013,"$25,000 under $50,000","84,997",
60013,"$50,000 under $75,000","110,303",
60013,"$75,000 under $100,000","128,678",
60013,"$100,000 under $200,000","417,984",
60013,"$200,000 or more","437,631",

60014,,"2,054,972",
60014,"$1 under $25,000","79,691",
60014,"$25,000 under $50,000","177,875",
60014,"$50,000 under $75,000","207,010",
60014,"$75,000 under $100,000","214,258",
60014,"$100,000 under $200,000","681,213",
60014,"$200,000 or more","694,925",

60015,,"3,249,879",
60015,"$1 under $25,000","31,346",
60015,"$25,000 under $50,000","60,156",
60015,"$50,000 under $75,000","76,086",
60015,"$75,000 under $100,000","87,067",
60015,"$100,000 under $200,000","404,724",
60015,"$200,000 or more","2,590,500",

60016,,"1,933,433",
60016,"$1 under $25,000","128,101",
60016,"$25,000 under $50,000","292,776",
60016,"$50,000 under $75,000","327,486",
60016,"$75,000 under $100,000","276,992",
60016,"$100,000 under $200,000","613,553",
60016,"$200,000 or more","294,525",

60018,,"922,102",
60018,"$1 under $25,000","64,046",
60018,"$25,000 under $50,000","149,194",
60018,"$50,000 under $75,000","147,447",
60018,"$75,000 under $100,000","119,742",
60018,"$100,000 under $200,000","259,259",
60018,"$200,000 or more","182,414",

60020,,"343,010",
60020,"$1 under $25,000","20,555",
60020,"$25,000 under $50,000","50,894",
60020,"$50,000 under $75,000","54,501",
60020,"$75,000 under $100,000","54,933",
60020,"$100,000 under $200,000","107,939",
60020,"$200,000 or more","54,188",

60021,,"243,252",
60021,"$1 under $25,000","8,346",
60021,"$25,000 under $50,000","19,560",
60021,"$50,000 under $75,000","21,937",
60021,"$75,000 under $100,000","27,911",
60021,"$100,000 under $200,000","86,465",
60021,"$200,000 or more","79,033",

60022,,"2,520,667",
60022,"$1 under $25,000","7,254",
60022,"$25,000 under $50,000","11,104",
60022,"$50,000 under $75,000","14,389",
60022,"$75,000 under $100,000","13,362",
60022,"$100,000 under $200,000","80,146",
60022,"$200,000 or more","2,394,412",

60025,,"3,408,082",
60025,"$1 under $25,000","57,345",
60025,"$25,000 under $50,000","112,391",
60025,"$50,000 under $75,000","144,659",
60025,"$75,000 under $100,000","150,295",
60025,"$100,000 under $200,000","575,638",
60025,"$200,000 or more","2,367,754",

60026,,"1,402,811",
60026,"$1 under $25,000","15,426",
60026,"$25,000 under $50,000","29,907",
60026,"$50,000 under $75,000","43,261",
